timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1568017086379,48,randomVariableNameGenerator,200,OK,ZSOAP User 1-9,text,true,,0,10,10,0,0
1568017086380,51,randomVariableNameGenerator,200,OK,ZSOAP User 1-4,text,true,,0,10,10,0,0
1568017086375,52,randomVariableNameGenerator,200,OK,ZSOAP User 1-7,text,true,,0,10,10,0,0
1568017086433,5,randomVariableNameGenerator,200,OK,ZSOAP User 1-3,text,true,,0,10,10,0,0
1568017086380,73,randomVariableNameGenerator,200,OK,ZSOAP User 1-6,text,true,,0,10,10,0,0
1568017086460,41,randomVariableNameGenerator,200,OK,ZSOAP User 1-2,text,true,,0,10,10,0,0
1568017086408,94,randomVariableNameGenerator,200,OK,ZSOAP User 1-5,text,true,,0,10,10,0,0
1568017086371,131,randomVariableNameGenerator,200,OK,ZSOAP User 1-8,text,true,,0,10,10,0,0
1568017086458,51,randomVariableNameGenerator,200,OK,ZSOAP User 1-1,text,true,,0,10,10,0,0
1568017086507,3,randomVariableNameGenerator,200,OK,ZSOAP User 1-10,text,true,,0,10,10,0,0
1568017086502,35,START,200,OK,ZSOAP User 1-3,text,true,,0,10,10,0,0
1568017086437,103,START,200,OK,ZSOAP User 1-4,text,true,,0,10,10,0,0
1568017086507,47,START,200,OK,ZSOAP User 1-8,text,true,,0,10,10,0,0
1568017086519,35,START,200,OK,ZSOAP User 1-6,text,true,,0,10,10,0,0
1568017086438,120,START,200,OK,ZSOAP User 1-7,text,true,,0,10,10,0,0
1568017086520,45,START,200,OK,ZSOAP User 1-1,text,true,,0,10,10,0,0
1568017086507,61,START,200,OK,ZSOAP User 1-5,text,true,,0,10,10,0,0
1568017086436,135,START,200,OK,ZSOAP User 1-9,text,true,,0,10,10,0,0
1568017086574,8,Next_Command,200,OK,ZSOAP User 1-9,text,true,,0,10,10,0,0
1568017086582,72,START,200,OK,ZSOAP User 1-10,text,true,,0,10,10,0,0
1568017086561,96,Next_Command,200,OK,ZSOAP User 1-8,text,true,,0,10,10,0,0
1568017086578,97,Next_Command,200,OK,ZSOAP User 1-6,text,true,,0,10,10,0,0
1568017086572,115,Next_Command,200,OK,ZSOAP User 1-5,text,true,,0,10,10,0,0
1568017086519,169,START,200,OK,ZSOAP User 1-2,text,true,,0,10,10,0,0
1568017086572,121,Next_Command,200,OK,ZSOAP User 1-1,text,true,,0,10,10,0,0
1568017086582,114,Next_Command,200,OK,ZSOAP User 1-4,text,true,,0,10,10,0,0
1568017086587,186,Next_Command,200,OK,ZSOAP User 1-3,text,true,,0,10,10,0,0
1568017086562,213,Next_Command,200,OK,ZSOAP User 1-7,text,true,,0,10,10,0,0
1568017086785,11,Next_Command,200,OK,ZSOAP User 1-2,text,true,,0,10,10,0,0
1568017086657,139,Next_Command,200,OK,ZSOAP User 1-10,text,true,,0,10,10,0,0
1568017088388,644,user,200,OK,ZSOAP User 1-2,text,true,,1382,10,10,644,0
1568017088300,840,user,200,OK,ZSOAP User 1-6,text,true,,1382,10,10,840,0
1568017086675,840,Command_Execution,200,"Number of samples in transaction : 1, number of failing samples : 0",ZSOAP User 1-6,,true,,1382,10,10,840,1808
1568017088270,787,user,200,OK,ZSOAP User 1-1,text,true,,1382,10,10,787,0
1568017086796,644,Command_Execution,200,"Number of samples in transaction : 1, number of failing samples : 0",ZSOAP User 1-2,,true,,1382,10,10,644,1883
